t,x,y,theta,v,a_cmd,delta_cmd
2.600000000000000089e+00,4.630452346801757812e+01,6.041893386840820312e+01,-4.962045326828956604e-02,8.297093391418457031e+00,1.090694666555471537e+00,4.999487315337721727e-01
2.700000000000000178e+00,4.713570785522460938e+01,6.038495635986328125e+01,-4.085570946335792542e-02,8.318768501281738281e+00,-2.566760426729454814e+00,-4.999999983461514974e-01
2.800000000000000266e+00,4.796283721923828125e+01,6.035150527954101562e+01,-4.042274132370948792e-02,8.278049468994140625e+00,-6.957646118889844189e-01,4.999999999999999445e-01
2.900000000000000355e+00,4.878492736816406250e+01,6.032538986206054688e+01,-3.175622597336769104e-02,8.225066184997558594e+00,-7.798326586328047094e-01,4.999999961641563018e-01
3.000000000000000000e+00,4.960090255737304688e+01,6.031321334838867188e+01,-1.492292154580354691e-02,8.160672187805175781e+00,8.518475291465822385e-01,-4.999999685012072592e-01
3.100000000000000089e+00,5.041287231445312500e+01,6.030804443359375000e+01,-6.367031484842300415e-03,8.119872093200683594e+00,1.499100445648795299e+00,-4.996741998873766577e-01
3.200000000000000178e+00,5.122394180297851562e+01,6.030322265625000000e+01,-5.943123251199722290e-03,8.110848426818847656e+00,5.822788654835322486e-01,-1.390369572810510324e-01
3.300000000000000266e+00,5.203474807739257812e+01,6.029216766357421875e+01,-1.363593805581331253e-02,8.108815193176269531e+00,-8.953989107617649212e-01,6.216222813765356903e-02
3.400000000000000355e+00,5.284295654296875000e+01,6.028148651123046875e+01,-1.321345940232276917e-02,8.082799911499023438e+00,1.467173106766254564e+00,-4.684616139861337847e-01
3.500000000000000000e+00,5.365127563476562500e+01,6.026460266113281250e+01,-2.088386192917823792e-02,8.084948539733886719e+00,-2.593239168446023202e-01,1.047268670481013297e-01
3.600000000000000089e+00,5.445860671997070312e+01,6.024808120727539062e+01,-2.046186290681362152e-02,8.075005531311035156e+00,1.500000000000000000e+00,4.999999581160300965e-01
3.700000000000000178e+00,5.526761245727539062e+01,6.023842239379882812e+01,-1.193696632981300354e-02,8.090622901916503906e+00,-8.528140239288231061e-01,-2.697433401687043819e-03
3.800000000000000266e+00,5.607551193237304688e+01,6.022911834716796875e+01,-1.151448860764503479e-02,8.079538345336914062e+00,1.300951250687544469e+00,5.000000000000000000e-01
3.900000000000000355e+00,5.688453292846679688e+01,6.022669982910156250e+01,-2.989594126120209694e-03,8.090261459350585938e+00,1.923122704222784973e-01,4.999983862327665451e-01
4.000000000000000000e+00,5.769407653808593750e+01,6.023780059814453125e+01,1.371048856526613235e-02,8.096179962158203125e+00,-5.819799737820603447e-01,-5.000000000000000000e-01
4.100000000000000533e+00,5.850215530395507812e+01,6.025576400756835938e+01,2.222715318202972412e-02,8.082778930664062500e+00,-1.035472343358249336e+00,1.887825359200505371e-01
4.200000000000000178e+00,5.930604171752929688e+01,6.028698730468750000e+01,3.882155939936637878e-02,8.044925689697265625e+00,1.500000000000000000e+00,-5.000000000000000000e-01
4.299999999999999822e+00,6.010897445678710938e+01,6.032498931884765625e+01,4.729141294956207275e-02,8.038328170776367188e+00,1.499982365592279043e+00,-4.999999999999847344e-01
4.400000000000000355e+00,6.091372299194335938e+01,6.036341476440429688e+01,4.771273583173751831e-02,8.056640625000000000e+00,-1.331531297933451929e+00,7.868426504554942857e-02
4.500000000000000000e+00,6.171627044677734375e+01,6.040855026245117188e+01,5.618239194154739380e-02,8.038155555725097656e+00,3.983729451686103262e-01,1.753995938999047544e-01
4.600000000000000533e+00,6.251664352416992188e+01,6.046686935424804688e+01,7.273561507463455200e-02,8.024963378906250000e+00,1.380604331679065044e+00,-5.000000000000000000e-01
4.700000000000000178e+00,6.331755828857421875e+01,6.053205108642578125e+01,8.120264858007431030e-02,8.035644531250000000e+00,-5.756619982108069911e-01,-2.683870665343305317e-01
4.800000000000000711e+00,6.411750793457031250e+01,6.059748840332031250e+01,8.162229508161544800e-02,8.026213645935058594e+00,5.571170471532704838e-01,4.999994694715213517e-01
4.900000000000000355e+00,6.491659545898437500e+01,6.066966247558593750e+01,9.007641673088073730e-02,8.023420333862304688e+00,1.498544174680413565e+00,3.919477624894939227e-01
5.000000000000000000e+00,6.571649932861328125e+01,6.075531387329101562e+01,1.066704392433166504e-01,8.044746398925781250e+00,1.498352891512678919e+00,-3.184332455530828332e-01
5.100000000000000533e+00,6.651966857910156250e+01,6.084824371337890625e+01,1.151897311210632324e-01,8.085270881652832031e+00,-3.640740636742229697e+00,-2.281939004122913728e-01
5.200000000000000178e+00,6.731813049316406250e+01,6.094096755981445312e+01,1.156099140644073486e-01,8.038277626037597656e+00,1.077994076467402307e+00,-2.483519977828714531e-01
5.300000000000000711e+00,6.811505889892578125e+01,6.102737426757812500e+01,1.080048009753227234e-01,8.015962600708007812e+00,-4.072090015876528302e-01,-4.248674183106044833e-01
5.400000000000000355e+00,6.891001892089843750e+01,6.110102462768554688e+01,9.238373488187789917e-02,7.983624935150146484e+00,1.181798538714603497e+00,4.973118492659391876e-01
5.500000000000000000e+00,6.970466613769531250e+01,6.116858673095703125e+01,8.481737971305847168e-02,7.975107192993164062e+00,-2.053895500062719037e+00,4.163599277192417958e-01
5.600000000000000533e+00,7.049387359619140625e+01,6.123601531982421875e+01,8.523160964250564575e-02,7.920862197875976562e+00,4.250064593317387507e-01,-1.622747611421213598e-01
5.700000000000000178e+00,7.127947235107421875e+01,6.129722213745117188e+01,7.775568217039108276e-02,7.879803180694580078e+00,1.478191571730642861e+00,1.182766889230628116e-01
5.800000000000000711e+00,7.206410217285156250e+01,6.135868072509765625e+01,7.816726714372634888e-02,7.870347499847412109e+00,1.499999999999915179e+00,4.999999999991688870e-01
5.900000000000000355e+00,7.284980773925781250e+01,6.142679595947265625e+01,8.647719770669937134e-02,7.886517047882080078e+00,-1.312871920055757036e+00,-4.999999999997668532e-01
6.000000000000000000e+00,7.363352203369140625e+01,6.149506378173828125e+01,8.688858896493911743e-02,7.866834163665771484e+00,7.433204247713721680e-01,4.999999992765339907e-01
6.100000000000000533e+00,7.441593933105468750e+01,6.156975173950195312e+01,9.517025202512741089e-02,7.859724044799804688e+00,1.499999997722187617e+00,4.999999999999999445e-01
6.200000000000000178e+00,7.519882965087890625e+01,6.165734481811523438e+01,1.114199459552764893e-01,7.877770900726318359e+00,1.500000000000000000e+00,-3.561145434270835963e-01
6.300000000000000711e+00,7.598474121093750000e+01,6.175191879272460938e+01,1.197607815265655518e-01,7.915848255157470703e+00,1.499981501907640125e+00,5.000000000000000000e-01
6.400000000000000355e+00,7.677434539794921875e+01,6.186013412475585938e+01,1.362003237009048462e-01,7.969855308532714844e+00,1.500000000000000000e+00,-5.000000000000000000e-01
6.500000000000000000e+00,7.756960296630859375e+01,6.197599029541015625e+01,1.446683406829833984e-01,8.036512374877929688e+00,-2.388540578167170497e-02,-1.723372328170377221e-01
6.600000000000000533e+00,7.836938476562500000e+01,6.209285354614257812e+01,1.450909376144409180e-01,8.082717895507812500e+00,6.038069840240434250e-01,1.574708578373759660e-01
6.700000000000000178e+00,7.917232513427734375e+01,6.221720886230468750e+01,1.536523997783660889e-01,8.125144004821777344e+00,1.022294952288172798e+00,2.207671755800379165e-02
6.800000000000000711e+00,7.997960662841796875e+01,6.234472274780273438e+01,1.566600203514099121e-01,8.172895431518554688e+00,1.476447970387634312e-01,-1.074799237429517190e-01
6.900000000000000355e+00,8.079094696044921875e+01,6.246856307983398438e+01,1.514701247215270996e-01,8.207358360290527344e+00,9.511147288917409792e-02,-4.999991972222153636e-01
7.000000000000000000e+00,8.160614013671875000e+01,6.258177566528320312e+01,1.379950046539306641e-01,8.230154991149902344e+00,1.499999999999997335e+00,5.000000000000000000e-01
7.100000000000000533e+00,8.242603302001953125e+01,6.269127273559570312e+01,1.327642798423767090e-01,8.271735191345214844e+00,-3.375373276658439448e+00,3.962060016275315011e-02
7.200000000000000178e+00,8.324153137207031250e+01,6.280269622802734375e+01,1.357932686805725098e-01,8.230741500854492188e+00,-7.425130159404987884e-01,4.269085064254263262e-01
7.300000000000000711e+00,8.405037689208984375e+01,6.292246246337890625e+01,1.470036059617996216e-01,8.176642417907714844e+00,-2.022467709055335128e+00,4.999991786555869067e-01
7.400000000000000355e+00,8.484787750244140625e+01,6.305630874633789062e+01,1.662818938493728638e-01,8.086545944213867188e+00,-6.795367799726051983e-01,-3.708805970967282151e-01
7.500000000000000000e+00,8.563481903076171875e+01,6.319726943969726562e+01,1.772428303956985474e-01,7.994697093963623047e+00,1.500000000000000000e+00,-4.385327089692544478e-01
7.600000000000000533e+00,8.641647338867187500e+01,6.333964157104492188e+01,1.801665872335433960e-01,7.945116043090820312e+00,1.052187391562678043e+00,-1.181177974312144496e-01
7.700000000000000178e+00,8.719638061523437500e+01,6.347766494750976562e+01,1.751581132411956787e-01,7.920297622680664062e+00,-6.526642358587734227e-01,-5.000000000000000000e-01
7.800000000000000711e+00,8.797414398193359375e+01,6.360498046875000000e+01,1.622544676065444946e-01,7.881132602691650391e+00,-9.678147732476402032e-01,-1.816473634621686428e-01
7.900000000000000355e+00,8.874874877929687500e+01,6.371531677246093750e+01,1.414877027273178101e-01,7.824265003204345703e+00,-1.492387155068029436e+00,5.000000000000000000e-01
8.000000000000000000e+00,8.951661682128906250e+01,6.381477737426757812e+01,1.288104355335235596e-01,7.742845535278320312e+00,1.258260794083740475e+00,5.000000000000000000e-01
8.099999999999999645e+00,9.028040313720703125e+01,6.390993118286132812e+01,1.239431649446487427e-01,7.696941375732421875e+00,1.499999977332869161e+00,3.582908848663517443e-01
8.200000000000001066e+00,9.104265594482421875e+01,6.400708770751953125e+01,1.267710626125335693e-01,7.684207439422607422e+00,1.499991538488874676e+00,-4.999935258569037089e-01
8.300000000000000711e+00,9.180673217773437500e+01,6.410069274902343750e+01,1.219032332301139832e-01,7.697913646697998047e+00,1.500000000000000000e+00,4.999999999974057974e-01
8.400000000000000355e+00,9.257398986816406250e+01,6.419690704345703125e+01,1.247489154338836670e-01,7.732676506042480469e+00,9.550768300762854102e-01,-2.868708698046911754e-01
8.500000000000000000e+00,9.334574127197265625e+01,6.428983306884765625e+01,1.198333278298377991e-01,7.773290634155273438e+00,1.500000000000000000e+00,2.527504549157768565e-01
8.599999999999999645e+00,9.412279510498046875e+01,6.438567352294921875e+01,1.227145940065383911e-01,7.829433441162109375e+00,-2.030904354841843507e+00,-4.999999999971201925e-01
8.700000000000001066e+00,9.490010070800781250e+01,6.447763824462890625e+01,1.177649348974227905e-01,7.827286243438720703e+00,1.499999999980060617e+00,4.999812295142996854e-01
8.800000000000000711e+00,9.567932891845703125e+01,6.457211303710937500e+01,1.206534951925277710e-01,7.849313735961914062e+00,1.499942156030958040e+00,3.401892120939720154e-01
8.900000000000000355e+00,9.646157836914062500e+01,6.467555236816406250e+01,1.314716935157775879e-01,7.890584468841552734e+00,1.084985765847859440e+00,-4.413754113104110255e-01
9.000000000000000000e+00,9.724830627441406250e+01,6.478192138671875000e+01,1.343932449817657471e-01,7.938856124877929688e+00,5.677621285417353558e-01,-5.000000000000000000e-01
9.099999999999999645e+00,9.803987121582031250e+01,6.488488006591796875e+01,1.293456256389617920e-01,7.982323169708251953e+00,-4.134693114024849958e-01,4.999999829998764689e-01
9.200000000000001066e+00,9.883310699462890625e+01,6.499043273925781250e+01,1.322905868291854858e-01,8.002302169799804688e+00,1.293612319904176244e+00,-4.725837365356230779e-01
9.300000000000000711e+00,9.963037872314453125e+01,6.509239959716796875e+01,1.272079646587371826e-01,8.037692070007324219e+00,7.311493624919944700e-01,-4.999999281550364105e-01
9.400000000000000355e+00,1.004325485229492188e+02,6.518423461914062500e+01,1.139884293079376221e-01,8.074083328247070312e+00,1.499999936507918408e+00,4.999983087613414368e-01
9.500000000000000000e+00,1.012404022216796875e+02,6.527251434326171875e+01,1.088494434952735901e-01,8.126621246337890625e+00,-8.796172234861057149e-01,-5.000000000000000000e-01
9.600000000000001421e+00,1.020511322021484375e+02,6.535018920898437500e+01,9.551474452018737793e-02,8.144389152526855469e+00,-1.364476881703193367e+00,1.613840110508225623e-01
9.700000000000001066e+00,1.028602905273437500e+02,6.542351531982421875e+01,9.037707746028900146e-02,8.124741554260253906e+00,8.160395228953918334e-01,-4.625615776296229109e-01
9.800000000000000711e+00,1.036697692871093750e+02,6.548603820800781250e+01,7.708413898944854736e-02,8.118907928466796875e+00,-1.633275135154994562e+00,5.000000000000000000e-01
9.900000000000000355e+00,1.044751892089843750e+02,6.554411315917968750e+01,7.197773456573486328e-02,8.075098991394042969e+00,-1.846742760406791639e+00,-2.961541900374125014e-01
1.000000000000000000e+01,1.052734832763671875e+02,6.559117126464843750e+01,5.888459831476211548e-02,7.996797084808349609e+00,2.506956127012663349e-01,-4.989955685234435667e-01
1.010000000000000142e+01,1.060662155151367188e+02,6.562117767333984375e+01,3.782906383275985718e-02,7.933022499084472656e+00,-2.212770241383279934e+00,4.493863683095724038e-01
1.020000000000000107e+01,1.068491287231445312e+02,6.564076232910156250e+01,2.500651217997074127e-02,7.831604957580566406e+00,-6.059718324031421188e-02,4.999999999999968914e-01
